energy,tempo,danceability,playlist_genre,loudness,valence,speechiness,track_popularity,duration_ms
0.239,113.451,0.372,r&b,-11.314,0.127,0.0296,79,102813
0.307,92.995,0.81,r&b,-7.215,0.697,0.12,80,82509
0.352,102.679,0.45,r&b,-11.733,0.408,0.267,75,252747
0.695,90.119,0.665,r&b,-5.763,0.707,0.0532,72,227387
0.609,95.986,0.652,r&b,-7.519,0.482,0.037,76,210200
0.284,99.796,0.358,r&b,-8.285,0.276,0.0285,84,180853
0.344,65.203,0.583,r&b,-8.765,0.581,0.0559,78,110129
0.574,92.795,0.452,r&b,-8.336,0.578,0.311,78,207187
0.707,93.145,0.704,r&b,-6.537,0.761,0.0391,73,294787
0.612,86.768,0.536,r&b,-5.847,0.57,0.272,71,229040
0.735,88.98,0.644,r&b,-5.747,0.418,0.0391,86,153947
0.503,137.007,0.646,r&b,-7.472,0.789,0.0312,77,96369
0.552,90.098,0.641,r&b,-5.423,0.152,0.0283,76,254524
0.698,95.975,0.59,r&b,-4.262,0.352,0.0286,76,224093
0.61,125.99,0.741,r&b,-7.34,0.72,0.0511,76,276960
0.705,96.644,0.838,r&b,-6.131,0.837,0.29,72,245093
0.378,141.967,0.617,r&b,-8.54,0.22,0.0315,76,216063
0.43,129.93,0.716,r&b,-8.28,0.472,0.112,74,171000
0.629,93.985,0.657,r&b,-4.938,0.726,0.0782,69,266893
0.493,82.887,0.347,r&b,-11.548,0.308,0.29,75,382760
0.594,135.002,0.795,r&b,-6.2,0.409,0.0748,77,275080
0.5,132.798,0.602,r&b,-9.377,0.395,0.298,75,223630
0.618,133.876,0.707,r&b,-5.825,0.517,0.19,72,231498
0.477,119.928,0.796,r&b,-7.161,0.685,0.108,70,231933
0.681,171.864,0.673,r&b,-5.693,0.707,0.118,77,232000
0.588,94.519,0.686,r&b,-8.343,0.617,0.0554,75,249120
0.5,135.03,0.856,r&b,-9.393,0.886,0.18,75,177900
0.725,146.163,0.61,r&b,-5.131,0.291,0.15,73,201788
0.5,124.037,0.816,r&b,-4.551,0.649,0.03,69,247840
0.876,130.21,0.412,r&b,-6.008,0.706,0.472,73,273133
0.538,109.97,0.81,r&b,-5.783,0.832,0.0357,74,266840
0.394,92.009,0.764,r&b,-8.559,0.465,0.152,75,158421
0.552,168.19,0.727,r&b,-8.074,0.607,0.14,77,289160
0.712,140.012,0.573,r&b,-5.976,0.346,0.0732,74,259720
0.576,179.063,0.625,r&b,-5.693,0.235,0.175,68,193147
0.366,73.313,0.4,r&b,-9.405,0.161,0.0597,73,272187
0.242,144.211,0.549,r&b,-11.692,0.286,0.038,71,180304
